|id |name                        |comment       |streams        |send_internal_notifications|events_holder                                                                                           |status|created_at             |list_permissions                                                                                                                                                                                           |enabled|color  |client_id|
|87 |ESPANHA PLACAS              |ESPANHA PLACAS|"[853]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-06 11:53:49.091|"{\"creator_id\":11,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#44ff00|8        |
|88 |ÂNIMA PLACAS                |              |"[844]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-06 14:54:51.883|"{\"creator_id\":11,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#32f40b|8        |
|89 |ANTONIO M. MACHADO PLACAS   |              |"[502]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-06 14:55:38.576|"{\"creator_id\":11,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#09f10d|8        |
|90 |GARDENS PLACAS              |              |"[862]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-15 08:45:06.181|"{\"creator_id\":11,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#67f240|8        |
|91 |ESPANHA                     |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2025-08-19 12:05:44.037|"{\"creator_id\":11,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#51e212|8        |
|92 |SOLAR SERRANO PLACAS        |              |"[]"           |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-08-19 15:05:02.999|"{\"creator_id\":11,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#49f50a|8        |
|93 |LEAF PLACAS                 |              |"[896]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-09-26 10:39:04.423|"{\"creator_id\":11,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |[NULL] |#49ec0e|8        |
|94 |teste                       |              |"[898]"        |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2025-10-05 18:56:24.335|"{\"creator_id\":116,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"|[NULL] |#000000|96       |
|95 |VEÍCULOS COLABORADORES      |              |"[973,975]"    |true                       |"{\"events\":[{\"id\":\"689cb11c-7cfc-4913-a537-c7c43dbcf78a\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2025-11-08 07:08:57.237|"{\"creator_id\":8,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#14e605|6        |
|96 |FROTA SERVIP                |              |"[973,975]"    |true                       |"{\"events\":[{\"id\":\"689cb11c-7cfc-4913-a537-c7c43dbcf78a\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2025-11-09 09:10:32.885|"{\"creator_id\":8,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#e07a06|6        |
|97 |VISITANTES                  |              |"[973]"        |true                       |"{\"events\":[{\"id\":\"689cb11c-7cfc-4913-a537-c7c43dbcf78a\",\"params\":{}}],\"notify_enabled\":true}"|-1    |2025-11-11 20:01:33.28 |"{\"creator_id\":8,\"default_permissions\":{\"ViewLprLists\":true,\"AddLprListElement\":true,\"EditLprListElement\":true,\"DeleteLprListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |[NULL] |#0b5af9|6        |
