|id     |va_id|line|type|count|direction|created_at         |client_id|present|
|232,369|806  |0   |0   |1    |2        |2025-11-25 16:54:00|6        |-1     |
|232,370|806  |0   |0   |1    |1        |2025-11-25 17:06:00|6        |-9     |
|232,371|806  |0   |0   |3    |2        |2025-11-25 17:06:00|6        |-9     |
|232,372|806  |0   |0   |2    |2        |2025-11-25 17:12:00|6        |-9     |
|232,373|806  |0   |0   |2    |1        |2025-11-25 17:15:00|6        |-9     |
|232,374|806  |0   |0   |1    |2        |2025-11-25 17:27:00|6        |-9     |
|232,375|806  |0   |0   |1    |1        |2025-11-25 17:30:00|6        |-9     |
|232,376|806  |0   |0   |2    |2        |2025-11-25 17:39:00|6        |-9     |
|232,377|806  |0   |0   |5    |2        |2025-11-25 17:54:00|6        |-9     |
|232,378|806  |0   |0   |3    |1        |2025-11-25 18:00:00|6        |10     |
|232,379|806  |0   |0   |1    |1        |2025-11-25 18:03:00|6        |10     |
|232,380|806  |0   |0   |3    |1        |2025-11-25 18:09:00|6        |10     |
|232,381|806  |0   |0   |1    |1        |2025-11-25 18:21:00|6        |10     |
|232,382|806  |0   |0   |2    |1        |2025-11-25 18:24:00|6        |10     |
|232,383|806  |0   |0   |1    |2        |2025-11-25 18:33:00|6        |10     |
|232,384|806  |0   |0   |2    |1        |2025-11-25 18:36:00|6        |10     |
|232,385|806  |0   |0   |2    |2        |2025-11-25 18:36:00|6        |10     |
|232,386|806  |0   |0   |1    |1        |2025-11-25 18:39:00|6        |10     |
|232,387|806  |0   |0   |1    |1        |2025-11-25 18:42:00|6        |10     |
|232,388|806  |0   |0   |1    |2        |2025-11-25 18:57:00|6        |10     |
|232,389|806  |0   |0   |1    |1        |2025-11-25 19:03:00|6        |5      |
|232,390|806  |0   |0   |1    |2        |2025-11-25 19:03:00|6        |5      |
|232,391|806  |0   |0   |2    |1        |2025-11-25 19:06:00|6        |5      |
|232,392|806  |0   |0   |2    |1        |2025-11-25 19:12:00|6        |5      |
|232,393|806  |0   |0   |2    |1        |2025-11-25 19:24:00|6        |5      |
|232,394|806  |0   |0   |3    |2        |2025-11-25 19:24:00|6        |5      |
|232,395|806  |0   |0   |1    |1        |2025-11-25 19:33:00|6        |5      |
|232,396|806  |0   |0   |2    |1        |2025-11-25 19:36:00|6        |5      |
|232,397|806  |0   |0   |1    |2        |2025-11-25 19:42:00|6        |5      |
|232,398|806  |0   |0   |1    |1        |2025-11-25 20:00:00|6        |0      |
|232,399|806  |0   |0   |1    |1        |2025-11-25 20:15:00|6        |0      |
|232,400|806  |0   |0   |1    |2        |2025-11-25 20:18:00|6        |0      |
|232,401|806  |0   |0   |1    |2        |2025-11-25 20:27:00|6        |0      |
|232,402|806  |0   |0   |1    |1        |2025-11-25 20:36:00|6        |0      |
|232,403|806  |0   |0   |1    |2        |2025-11-25 20:36:00|6        |0      |
|232,404|806  |0   |0   |2    |1        |2025-11-25 21:00:00|6        |2      |
|232,405|806  |0   |0   |1    |2        |2025-11-25 21:00:00|6        |2      |
|232,406|806  |0   |0   |1    |1        |2025-11-25 21:03:00|6        |2      |
|232,407|806  |0   |0   |1    |2        |2025-11-25 22:30:00|6        |-1     |
|232,408|806  |0   |0   |1    |2        |2025-11-26 00:33:00|6        |0      |
|232,409|806  |0   |0   |1    |1        |2025-11-26 00:39:00|6        |0      |
|232,410|806  |0   |0   |1    |1        |2025-11-26 06:24:00|6        |-2     |
|232,411|806  |0   |0   |2    |2        |2025-11-26 06:24:00|6        |-2     |
|232,412|806  |0   |0   |1    |2        |2025-11-26 06:57:00|6        |-2     |
|232,413|806  |0   |0   |1    |2        |2025-11-26 07:57:00|6        |-1     |
|232,414|806  |0   |0   |2    |2        |2025-11-26 08:00:00|6        |-7     |
|232,415|806  |0   |0   |1    |1        |2025-11-26 08:03:00|6        |-7     |
|232,416|806  |0   |0   |1    |1        |2025-11-26 08:09:00|6        |-7     |
|232,417|806  |0   |0   |5    |2        |2025-11-26 08:09:00|6        |-7     |
|232,418|806  |0   |0   |2    |1        |2025-11-26 08:42:00|6        |-7     |
|232,419|806  |0   |0   |1    |2        |2025-11-26 08:42:00|6        |-7     |
|232,420|806  |0   |0   |3    |2        |2025-11-26 08:51:00|6        |-7     |
|232,421|806  |0   |0   |1    |2        |2025-11-26 09:12:00|6        |-3     |
|232,422|806  |0   |0   |1    |2        |2025-11-26 09:27:00|6        |-3     |
|232,423|806  |0   |0   |1    |2        |2025-11-26 09:30:00|6        |-3     |
|232,424|806  |0   |0   |1    |1        |2025-11-26 09:45:00|6        |-3     |
|232,425|806  |0   |0   |1    |2        |2025-11-26 09:57:00|6        |-3     |
|232,426|806  |0   |0   |1    |1        |2025-11-26 10:00:00|6        |3      |
|232,427|806  |0   |0   |2    |1        |2025-11-26 10:03:00|6        |3      |
|232,428|806  |0   |0   |4    |2        |2025-11-26 10:03:00|6        |3      |
|232,429|806  |0   |0   |2    |1        |2025-11-26 10:09:00|6        |3      |
|232,430|806  |0   |0   |3    |1        |2025-11-26 10:33:00|6        |3      |
|232,431|806  |0   |0   |1    |1        |2025-11-26 10:36:00|6        |3      |
|232,432|806  |0   |0   |2    |2        |2025-11-26 10:36:00|6        |3      |
|232,433|806  |0   |0   |2    |1        |2025-11-26 11:09:00|6        |5      |
|232,434|806  |0   |0   |2    |1        |2025-11-26 11:15:00|6        |5      |
|232,435|806  |0   |0   |1    |1        |2025-11-26 11:24:00|6        |5      |
|232,436|806  |0   |0   |1    |2        |2025-11-26 12:06:00|6        |-1     |
|232,437|806  |0   |0   |1    |2        |2025-11-26 12:09:00|6        |-1     |
|232,438|806  |0   |0   |1    |2        |2025-11-26 12:21:00|6        |-1     |
|232,439|806  |0   |0   |1    |2        |2025-11-26 12:24:00|6        |-1     |
|232,440|806  |0   |0   |1    |1        |2025-11-26 12:30:00|6        |-1     |
|232,441|806  |0   |0   |2    |1        |2025-11-26 12:33:00|6        |-1     |
|232,442|806  |0   |0   |1    |2        |2025-11-26 12:33:00|6        |-1     |
|232,443|806  |0   |0   |2    |1        |2025-11-26 12:45:00|6        |-1     |
|232,444|806  |0   |0   |3    |2        |2025-11-26 12:45:00|6        |-1     |
|232,445|806  |0   |0   |5    |1        |2025-11-26 12:48:00|6        |-1     |
|232,446|806  |0   |0   |3    |2        |2025-11-26 12:48:00|6        |-1     |
|232,447|682  |0   |0   |1    |2        |2025-11-26 13:00:00|6        |-1     |
|232,448|806  |0   |0   |1    |2        |2025-11-26 13:03:00|6        |0      |
|232,449|806  |0   |0   |1    |1        |2025-11-26 13:06:00|6        |0      |
|232,450|682  |0   |0   |1    |1        |2025-11-26 14:03:00|6        |-3     |
|232,451|682  |0   |0   |1    |1        |2025-11-26 14:06:00|6        |-3     |
|232,452|682  |0   |0   |2    |2        |2025-11-26 14:06:00|6        |-3     |
|232,453|682  |0   |0   |2    |2        |2025-11-26 14:09:00|6        |-3     |
|232,454|806  |0   |0   |1    |1        |2025-11-26 14:15:00|6        |-2     |
|232,455|682  |0   |0   |1    |2        |2025-11-26 14:39:00|6        |-3     |
|232,456|806  |0   |0   |3    |2        |2025-11-26 14:45:00|6        |-2     |
|232,457|806  |0   |0   |1    |1        |2025-11-26 14:48:00|6        |-2     |
|232,458|806  |0   |0   |1    |2        |2025-11-26 14:48:00|6        |-2     |
|232,459|806  |0   |0   |1    |2        |2025-11-26 15:09:00|6        |1      |
|232,460|806  |0   |0   |2    |1        |2025-11-26 15:18:00|6        |1      |
|232,461|806  |0   |0   |1    |1        |2025-11-26 15:27:00|6        |1      |
|232,462|806  |0   |0   |1    |1        |2025-11-26 15:48:00|6        |1      |
|232,463|806  |0   |0   |1    |2        |2025-11-26 15:48:00|6        |1      |
|232,464|806  |0   |0   |1    |2        |2025-11-26 15:57:00|6        |1      |
|232,465|806  |0   |0   |1    |2        |2025-11-26 16:09:00|6        |3      |
|232,466|806  |0   |0   |1    |1        |2025-11-26 16:12:00|6        |3      |
|232,467|806  |0   |0   |1    |1        |2025-11-26 16:15:00|6        |3      |
|232,468|806  |0   |0   |1    |2        |2025-11-26 16:30:00|6        |3      |
|232,469|806  |0   |0   |1    |1        |2025-11-26 16:39:00|6        |3      |
|232,470|806  |0   |0   |2    |1        |2025-11-26 16:48:00|6        |3      |
|232,471|806  |0   |0   |1    |1        |2025-11-26 17:06:00|6        |-3     |
|232,472|806  |0   |0   |2    |2        |2025-11-26 17:06:00|6        |-3     |
|232,473|806  |0   |0   |2    |2        |2025-11-26 17:12:00|6        |-3     |
|232,474|806  |0   |0   |1    |2        |2025-11-26 17:18:00|6        |-3     |
|232,475|806  |0   |0   |1    |1        |2025-11-26 17:21:00|6        |-3     |
|232,476|806  |0   |0   |1    |2        |2025-11-26 17:33:00|6        |-3     |
|232,477|806  |0   |0   |2    |1        |2025-11-26 17:36:00|6        |-3     |
|232,478|806  |0   |0   |1    |1        |2025-11-26 17:39:00|6        |-3     |
|232,479|806  |0   |0   |2    |2        |2025-11-26 17:39:00|6        |-3     |
|232,480|682  |0   |0   |1    |2        |2025-11-26 17:57:00|6        |-1     |
|232,481|806  |0   |0   |1    |1        |2025-11-26 17:57:00|6        |-3     |
|232,482|806  |0   |0   |1    |2        |2025-11-26 17:57:00|6        |-3     |
|232,483|806  |0   |0   |2    |1        |2025-11-26 18:06:00|6        |-1     |
|232,484|806  |0   |0   |1    |1        |2025-11-26 18:24:00|6        |-1     |
|232,485|806  |0   |0   |4    |2        |2025-11-26 18:24:00|6        |-1     |
|232,486|806  |0   |0   |1    |1        |2025-11-26 18:33:00|6        |-1     |
|232,487|806  |0   |0   |1    |2        |2025-11-26 18:36:00|6        |-1     |
|232,488|806  |0   |0   |1    |2        |2025-11-26 19:03:00|6        |4      |
|232,489|806  |0   |0   |1    |2        |2025-11-26 19:06:00|6        |4      |
|232,490|806  |0   |0   |1    |1        |2025-11-26 19:09:00|6        |4      |
|232,491|806  |0   |0   |3    |1        |2025-11-26 19:12:00|6        |4      |
|232,492|806  |0   |0   |1    |2        |2025-11-26 19:12:00|6        |4      |
|232,493|806  |0   |0   |1    |2        |2025-11-26 19:18:00|6        |4      |
|232,494|806  |0   |0   |1    |1        |2025-11-26 19:24:00|6        |4      |
|232,495|806  |0   |0   |1    |1        |2025-11-26 19:51:00|6        |4      |
|232,496|806  |0   |0   |2    |1        |2025-11-26 19:57:00|6        |4      |
|232,497|806  |0   |0   |6    |1        |2025-11-26 20:06:00|6        |4      |
|232,498|806  |0   |0   |7    |2        |2025-11-26 20:06:00|6        |4      |
|232,499|806  |0   |0   |1    |1        |2025-11-26 20:21:00|6        |4      |
|232,500|806  |0   |0   |1    |2        |2025-11-26 20:21:00|6        |4      |
|232,501|806  |0   |0   |3    |1        |2025-11-26 20:24:00|6        |4      |
|232,502|806  |0   |0   |1    |2        |2025-11-26 20:33:00|6        |4      |
|232,503|806  |0   |0   |2    |1        |2025-11-26 20:45:00|6        |4      |
|232,504|806  |0   |0   |1    |2        |2025-11-26 20:45:00|6        |4      |
|232,505|806  |0   |0   |2    |1        |2025-11-26 20:51:00|6        |4      |
|232,506|806  |0   |0   |2    |2        |2025-11-26 20:51:00|6        |4      |
|232,507|806  |0   |0   |3    |1        |2025-11-26 20:57:00|6        |4      |
|232,508|806  |0   |0   |1    |2        |2025-11-26 20:57:00|6        |4      |
|232,509|806  |0   |0   |2    |1        |2025-11-26 21:03:00|6        |3      |
|232,510|806  |0   |0   |1    |1        |2025-11-26 21:27:00|6        |3      |
|232,511|806  |0   |0   |1    |2        |2025-11-26 21:54:00|6        |3      |
|232,512|806  |0   |0   |1    |1        |2025-11-26 21:57:00|6        |3      |
|232,513|806  |0   |0   |1    |2        |2025-11-26 22:00:00|6        |1      |
|232,514|806  |0   |0   |1    |1        |2025-11-26 22:09:00|6        |1      |
|232,515|806  |0   |0   |2    |1        |2025-11-26 22:27:00|6        |1      |
|232,516|806  |0   |0   |1    |2        |2025-11-26 22:27:00|6        |1      |
|232,517|806  |0   |0   |1    |1        |2025-11-26 23:00:00|6        |-1     |
|232,518|806  |0   |0   |1    |2        |2025-11-26 23:00:00|6        |-1     |
|232,519|806  |0   |0   |1    |1        |2025-11-26 23:18:00|6        |-1     |
|232,520|806  |0   |0   |2    |2        |2025-11-26 23:18:00|6        |-1     |
|232,521|806  |0   |0   |1    |1        |2025-11-27 06:48:00|6        |-2     |
|232,522|806  |0   |0   |2    |2        |2025-11-27 06:48:00|6        |-2     |
|232,523|806  |0   |0   |1    |2        |2025-11-27 06:54:00|6        |-2     |
|232,524|806  |0   |0   |2    |1        |2025-11-27 07:33:00|6        |0      |
|232,525|806  |0   |0   |3    |2        |2025-11-27 07:33:00|6        |0      |
|232,526|806  |0   |0   |1    |2        |2025-11-27 07:36:00|6        |0      |
|232,527|806  |0   |0   |1    |2        |2025-11-27 07:45:00|6        |0      |
|232,528|806  |0   |0   |1    |1        |2025-11-27 07:51:00|6        |0      |
|232,529|806  |0   |0   |2    |1        |2025-11-27 07:57:00|6        |0      |
|232,530|806  |0   |0   |1    |1        |2025-11-27 08:03:00|6        |-5     |
|232,531|806  |0   |0   |1    |2        |2025-11-27 08:06:00|6        |-5     |
|232,532|806  |0   |0   |1    |1        |2025-11-27 08:09:00|6        |-5     |
|232,533|806  |0   |0   |3    |2        |2025-11-27 08:09:00|6        |-5     |
|232,534|806  |0   |0   |2    |2        |2025-11-27 08:48:00|6        |-5     |
|232,535|806  |0   |0   |1    |2        |2025-11-27 08:54:00|6        |-5     |
|232,536|806  |0   |0   |1    |1        |2025-11-27 09:00:00|6        |5      |
|232,537|806  |0   |0   |1    |1        |2025-11-27 09:03:00|6        |5      |
|232,538|806  |0   |0   |3    |1        |2025-11-27 09:30:00|6        |5      |
|232,539|806  |0   |0   |1    |2        |2025-11-27 09:30:00|6        |5      |
|232,540|806  |0   |0   |1    |1        |2025-11-27 09:42:00|6        |5      |
|232,541|806  |0   |0   |5    |1        |2025-11-27 10:06:00|6        |-3     |
|232,542|806  |0   |0   |3    |2        |2025-11-27 10:06:00|6        |-3     |
|232,543|806  |0   |0   |2    |2        |2025-11-27 10:24:00|6        |-3     |
