|id     |face_id|status|accepted_by|created_at             |
|111,975|438,709|0     |1          |2025-11-25 09:16:54.59 |
|111,976|438,710|0     |1          |2025-11-25 09:17:02.47 |
|111,977|438,714|0     |1          |2025-11-25 09:17:46.026|
|111,978|438,715|0     |1          |2025-11-25 09:18:08.169|
|111,979|438,717|0     |1          |2025-11-25 09:19:08.338|
|111,980|438,722|0     |11         |2025-11-25 09:19:48.796|
|111,981|438,723|0     |1          |2025-11-25 09:19:54.335|
|111,982|438,727|0     |1          |2025-11-25 09:21:04.229|
|111,983|438,729|0     |1          |2025-11-25 09:21:31.81 |
|111,984|438,735|0     |11         |2025-11-25 09:22:04.305|
|111,985|438,737|0     |1          |2025-11-25 09:23:04.703|
|111,986|438,791|0     |1          |2025-11-25 09:35:20.514|
|111,987|438,797|0     |1          |2025-11-25 09:36:40.582|
|111,988|438,798|0     |1          |2025-11-25 09:36:58.648|
|111,989|438,802|0     |1          |2025-11-25 09:37:45.08 |
|111,990|438,808|0     |1          |2025-11-25 09:38:11.585|
|111,991|438,811|0     |1          |2025-11-25 09:38:21.608|
|111,992|438,820|0     |1          |2025-11-25 09:39:44.247|
|111,993|438,852|0     |11         |2025-11-25 09:45:22.295|
|111,994|438,856|0     |11         |2025-11-25 09:46:04.964|
|111,995|438,857|0     |11         |2025-11-25 09:46:43.643|
|111,996|438,862|0     |11         |2025-11-25 09:48:28.46 |
|111,997|438,864|0     |11         |2025-11-25 09:48:34.832|
|111,998|438,875|0     |11         |2025-11-25 09:51:27.724|
|111,999|438,879|0     |11         |2025-11-25 09:52:20.465|
|112,000|438,895|0     |11         |2025-11-25 09:55:25.44 |
|112,001|438,902|0     |11         |2025-11-25 09:56:13.861|
|112,002|438,970|0     |11         |2025-11-25 10:00:31.629|
|112,003|438,971|0     |11         |2025-11-25 10:01:12.115|
|112,004|439,010|0     |11         |2025-11-25 10:12:55.497|
|112,005|439,027|0     |11         |2025-11-25 10:16:16.845|
|112,006|439,035|0     |11         |2025-11-25 10:17:22.059|
|112,007|439,036|0     |11         |2025-11-25 10:17:23.635|
|112,008|439,037|0     |11         |2025-11-25 10:17:40.634|
|112,009|439,082|0     |11         |2025-11-25 10:24:54.888|
|112,010|439,089|0     |11         |2025-11-25 10:25:44.555|
|112,011|439,148|0     |11         |2025-11-25 10:34:36.78 |
|112,012|439,177|0     |11         |2025-11-25 10:41:22.09 |
|112,013|439,236|0     |11         |2025-11-25 10:55:17.108|
|112,014|439,244|0     |11         |2025-11-25 10:56:08.377|
|112,015|439,254|0     |11         |2025-11-25 10:57:32.251|
|112,016|439,264|0     |1          |2025-11-25 11:03:00.276|
|112,017|439,265|0     |11         |2025-11-25 11:03:24.394|
|112,018|439,282|0     |11         |2025-11-25 11:11:53.585|
|112,019|439,283|0     |11         |2025-11-25 11:11:58.903|
|112,020|439,293|0     |1          |2025-11-25 11:13:54.744|
|112,021|439,294|0     |1          |2025-11-25 11:14:04.782|
|112,022|439,297|0     |1          |2025-11-25 11:14:14.908|
|112,023|439,301|0     |11         |2025-11-25 11:14:59.855|
|112,024|439,302|0     |11         |2025-11-25 11:15:56.252|
|112,025|439,309|0     |11         |2025-11-25 11:18:02.065|
|112,026|439,317|0     |11         |2025-11-25 11:21:50.206|
|112,027|439,363|0     |11         |2025-11-25 11:29:22.492|
|112,028|439,367|0     |11         |2025-11-25 11:29:32.832|
|112,029|439,371|0     |11         |2025-11-25 11:30:41.974|
|112,030|439,383|0     |11         |2025-11-25 11:35:36.233|
|112,031|439,388|0     |11         |2025-11-25 11:36:24.874|
|112,032|439,390|0     |11         |2025-11-25 11:36:43.975|
|112,033|439,401|0     |1          |2025-11-25 11:42:49.539|
|112,034|439,403|0     |1          |2025-11-25 11:42:58.401|
|112,035|439,404|0     |11         |2025-11-25 11:42:58.909|
|112,036|439,405|0     |1          |2025-11-25 11:42:59.769|
|112,037|439,407|0     |1          |2025-11-25 11:43:01.169|
|112,038|439,408|0     |1          |2025-11-25 11:43:02.568|
|112,039|439,416|0     |11         |2025-11-25 11:45:08.544|
|112,040|439,420|0     |11         |2025-11-25 11:46:06.721|
|112,041|439,450|0     |11         |2025-11-25 11:53:56.64 |
|112,042|439,451|0     |11         |2025-11-25 11:54:08.132|
|112,043|439,483|0     |11         |2025-11-25 12:03:38.228|
|112,044|439,486|0     |1          |2025-11-25 12:03:56.951|
|112,045|439,487|0     |1          |2025-11-25 12:03:57.094|
|112,046|439,494|0     |11         |2025-11-25 12:05:16.874|
|112,047|439,530|0     |11         |2025-11-25 12:13:16.231|
|112,048|439,534|0     |1          |2025-11-25 12:14:13.244|
|112,049|439,538|0     |11         |2025-11-25 12:15:03.029|
|112,050|439,559|0     |11         |2025-11-25 12:19:00.09 |
|112,051|439,625|0     |11         |2025-11-25 12:32:07.243|
|112,052|439,626|0     |11         |2025-11-25 12:32:12.863|
|112,053|439,627|0     |11         |2025-11-25 12:33:25.559|
|112,054|439,628|0     |11         |2025-11-25 12:33:37.733|
|112,055|439,638|0     |11         |2025-11-25 12:36:24.269|
|112,056|439,650|0     |11         |2025-11-25 12:37:50.058|
|112,057|439,655|0     |11         |2025-11-25 12:40:10.707|
|112,058|439,688|0     |11         |2025-11-25 12:47:33.76 |
|112,059|439,700|0     |11         |2025-11-25 12:51:07.05 |
|112,060|439,706|0     |11         |2025-11-25 12:52:36.718|
|112,061|439,723|0     |1          |2025-11-25 12:57:26.604|
|112,062|439,731|0     |11         |2025-11-25 12:59:36.534|
|112,063|439,732|0     |11         |2025-11-25 12:59:37.658|
|112,064|439,733|0     |11         |2025-11-25 12:59:39.622|
|112,065|439,734|0     |11         |2025-11-25 12:59:55.814|
|112,066|439,760|0     |11         |2025-11-25 13:02:46.848|
|112,067|439,767|0     |11         |2025-11-25 13:03:26.131|
|112,068|439,831|0     |11         |2025-11-25 13:11:17.143|
