|id   |stream_id|va_id|frame_image                                          |thumbnail_image                                                |objects                                                                                                                                     |zone                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               |created_at             |client_id|status|accepted_by|
|3,738|741      |1,402|"gun_alerts/1402/2025/11/26/14/gun_1764168582562.jpg"|"gun_alerts/1402/2025/11/26/14/gun_1764168582562_thumbnail.jpg"|"[{\"box\":[0.36000001430511475,0.5,0.38999998569488525,0.5600000023841858],\"confidence\":0.2198486328125,\"type\":0}]"                    |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 11:49:42.562|8        |1     |0          |
|3,739|741      |1,402|"gun_alerts/1402/2025/11/26/15/gun_1764171569123.jpg"|"gun_alerts/1402/2025/11/26/15/gun_1764171569123_thumbnail.jpg"|"[{\"box\":[0.30000001192092896,0.5099999904632568,0.36000001430511475,0.6899999976158142],\"confidence\":0.2008056640625,\"type\":0}]"     |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 12:39:29.123|8        |1     |0          |
|3,740|741      |1,402|"gun_alerts/1402/2025/11/26/15/gun_1764171588929.jpg"|"gun_alerts/1402/2025/11/26/15/gun_1764171588929_thumbnail.jpg"|"[{\"box\":[0.41999998688697815,0.4699999988079071,0.47999998927116394,0.5199999809265137],\"confidence\":0.24169921875,\"type\":0}]"       |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 12:39:48.929|8        |1     |0          |
|3,741|741      |1,402|"gun_alerts/1402/2025/11/26/17/gun_1764179813163.jpg"|"gun_alerts/1402/2025/11/26/17/gun_1764179813163_thumbnail.jpg"|"[{\"box\":[0.5,0.8299999833106995,0.5600000023841858,0.9200000166893005],\"confidence\":0.3896484375,\"type\":0}]"                         |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 14:56:53.163|8        |1     |0          |
|3,742|863      |1,372|"gun_alerts/1372/2025/11/26/19/gun_1764187059086.jpg"|"gun_alerts/1372/2025/11/26/19/gun_1764187059086_thumbnail.jpg"|"[{\"box\":[0.49000000953674316,0.5799999833106995,0.550000011920929,0.6399999856948853],\"confidence\":0.7214627265930176,\"type\":0}]"    |"{\"id\":\"1a5d31e2b5d6\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.24539999663829803,\"y\":0.33059999346733093},{\"x\":0.5874999761581421,\"y\":0.3228999972343445},{\"x\":0.7547000050544739,\"y\":0.9811999797821045},{\"x\":0.010900000110268593,\"y\":0.9825999736785889},{\"x\":0.007799999788403511,\"y\":0.7677000164985657}]}"                                                                                                                                                                                                             |2025-11-26 16:57:39.086|8        |1     |0          |
|3,743|741      |1,402|"gun_alerts/1402/2025/11/26/21/gun_1764190866592.jpg"|"gun_alerts/1402/2025/11/26/21/gun_1764190866592_thumbnail.jpg"|"[{\"box\":[0.44999998807907104,0.4699999988079071,0.5099999904632568,0.5299999713897705],\"confidence\":0.491455078125,\"type\":0}]"       |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-26 18:01:06.592|8        |1     |0          |
|3,744|501      |797  |"gun_alerts/797/2025/11/26/23/gun_1764201406013.jpg" |"gun_alerts/797/2025/11/26/23/gun_1764201406013_thumbnail.jpg" |"[{\"box\":[0.3199999928474426,0.44999998807907104,0.3700000047683716,0.49000000953674316],\"confidence\":0.6012687683105469,\"type\":0}]"  |"{\"id\":\"7566114e095b\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.21089999377727509,\"y\":0.21950000524520874},{\"x\":0.4374000132083893,\"y\":0.16940000653266907},{\"x\":0.9843000173568726,\"y\":0.8805000185966492},{\"x\":0.9789000153541565,\"y\":0.9861000180244446},{\"x\":0.529699981212616,\"y\":0.9861000180244446},{\"x\":0.12970000505447388,\"y\":0.9861000180244446}]}"                                                                                                                                                            |2025-11-26 20:56:46.013|8        |1     |0          |
|3,745|501      |797  |"gun_alerts/797/2025/11/26/23/gun_1764201418953.jpg" |"gun_alerts/797/2025/11/26/23/gun_1764201418953_thumbnail.jpg" |"[{\"box\":[0.27000001072883606,0.44999998807907104,0.3100000023841858,0.5099999904632568],\"confidence\":0.6710081100463867,\"type\":0}]"  |"{\"id\":\"7566114e095b\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.21089999377727509,\"y\":0.21950000524520874},{\"x\":0.4374000132083893,\"y\":0.16940000653266907},{\"x\":0.9843000173568726,\"y\":0.8805000185966492},{\"x\":0.9789000153541565,\"y\":0.9861000180244446},{\"x\":0.529699981212616,\"y\":0.9861000180244446},{\"x\":0.12970000505447388,\"y\":0.9861000180244446}]}"                                                                                                                                                            |2025-11-26 20:56:58.953|8        |1     |0          |
|3,746|845      |1,339|"gun_alerts/1339/2025/11/27/10/gun_1764238482716.jpg"|"gun_alerts/1339/2025/11/27/10/gun_1764238482716_thumbnail.jpg"|"[{\"box\":[0.8100000023841858,0.3799999952316284,0.9300000071525574,0.7699999809265137],\"confidence\":0.7183990478515625,\"type\":0}]"    |"{\"id\":\"a9b0da357a29\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.2921999990940094,\"y\":0.46950000524520874},{\"x\":0.8889999985694885,\"y\":0.5889000296592712},{\"x\":0.9922000169754028,\"y\":0.8805999755859375},{\"x\":0.9890000224113464,\"y\":0.9861000180244446},{\"x\":0.18279999494552612,\"y\":0.983299970626831},{\"x\":0.02969999983906746,\"y\":0.7695000171661377}]}"                                                                                                                                                             |2025-11-27 07:14:42.716|8        |1     |0          |
|3,747|741      |1,402|"gun_alerts/1402/2025/11/27/15/gun_1764258370347.jpg"|"gun_alerts/1402/2025/11/27/15/gun_1764258370347_thumbnail.jpg"|"[{\"box\":[0.36000001430511475,0.6899999976158142,0.4099999964237213,0.7699999809265137],\"confidence\":0.6743037700653076,\"type\":0}]"   |"{\"id\":\"a79cde9f3e43\",\"name\":\"Rule 1\",\"points\":[{\"x\":0.007799999788403511,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.013899999670684338},{\"x\":0.9922000169754028,\"y\":0.9861000180244446},{\"x\":0.007799999788403511,\"y\":0.9861000180244446}]}"                                                                                                                                                                                                                                                               |2025-11-27 12:46:10.347|8        |1     |0          |
