|id |name                           |comment                      |min_confidence|streams                      |send_internal_notifications|events_holder                                                                                           |status|created_at             |client_id|color  |time_attendance                                                       |enabled|list_permissions                                                                                                                                                                                               |
|83 |BULKE                          |                             |80            |"[352,99,295,232,90,348]"    |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-11-25 21:03:30.888|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|84 |FORAGIDOS DA DEPEN             |                             |80            |"[]"                         |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-10-23 14:42:11.342|0        |       |"{\"enabled\":true,\"entrance_streams\":[],\"exit_streams\":[]}"      |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|85 |Moradores                      |                             |80            |"[348]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |1     |2024-11-25 18:39:32.331|46       |#000000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":48,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|86 |REDES SOCIAIS                  |                             |80            |"[352]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-11-25 20:58:10.534|0        |#000000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|87 |DELLI SOLUÇÕES                 |                             |80            |"[352,353,99,295,232,90,348]"|true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-11-25 21:19:47.099|0        |#000000|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":1,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}"  |
|88 |SUPEITOS                       |                             |80            |"[352,353,99,232,90,348]"    |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-12-06 12:23:49.488|40       |#0b60ea|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":43,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|89 |COLABORADORES SICOOB           |                             |80            |"[368]"                      |true                       |"{\"events\":[],\"notify_enabled\":false}"                                                              |-1    |2024-12-12 20:25:30.437|84       |#054206|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":93,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|90 |BANCO SICOOB                   |                             |80            |"[368,371]"                  |true                       |"{\"events\":[{\"id\":\"022a8a2b-3d6e-41f4-aac1-cc7736041f02\",\"params\":{}}],\"notify_enabled\":true}"|1     |2025-08-07 22:03:04.644|84       |#1beb00|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":93,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|91 |GRUPO SEI                      |                             |80            |"[368,371]"                  |true                       |"{\"events\":[{\"id\":\"4d9c5181-6c62-4e22-b3f9-02c93b94a5ad\",\"params\":{}}],\"notify_enabled\":true}"|1     |2025-08-09 10:11:04.04 |84       |#e20808|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":93,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
|92 |LIMPEZA                        |                             |80            |"[371]"                      |true                       |"{\"events\":[{\"id\":\"4d9c5181-6c62-4e22-b3f9-02c93b94a5ad\",\"params\":{}}],\"notify_enabled\":true}"|1     |2025-01-05 16:23:34.81 |84       |#f0f0f0|"{\"enabled\":false,\"entrance_streams\":[],\"exit_streams\":[]}"     |[NULL] |"{\"creator_id\":93,\"default_permissions\":{\"ViewFaceLists\":true,\"AddFaceListElement\":true,\"EditFaceListElement\":true,\"DeleteFaceListElement\":true},\"role_permissions\":{},\"user_permissions\":{}}" |
