|id |detection_id|list_id|list_item_id|list_item_name|status|accepted_by|created_at             |plate_number|arabic_number|adr|box                                                                            |plate_image                                                       |frame_image                                               |analytics_id|make_model_id|vehicle_type|color_id|direction|country|pattern  |latitude|longitude|client_id|
|25 |94          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:18:36.427|CSI3J41     |             |   |[0.8136160969734192,0.3105263113975525,0.855282723903656,0.3375000059604645]   |analytics/plates/3/2025/12/17/23/CSI3J41_1766013516425_cropped.jpg|analytics/plates/3/2025/12/17/23/CSI3J41_1766013516425.jpg|3           |200,410      |7           |7       |301      |BR     |BRAZIL-1 |0       |0        |0        |
|26 |95          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:18:44.713|FVP0289     |             |   |[0.5442708134651184,0.2118421047925949,0.589657723903656,0.23947368562221527]  |analytics/plates/3/2025/12/17/23/FVP0289_1766013524711_cropped.jpg|analytics/plates/3/2025/12/17/23/FVP0289_1766013524711.jpg|3           |200,410      |7           |7       |-1       |BR     |BRAZIL-1 |0       |0        |0        |
|27 |96          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:18:54.5  |FDU7H16     |             |   |[0.6417410969734192,0.16381579637527466,0.6856398582458496,0.19078947603702545]|analytics/plates/3/2025/12/17/23/FDU7H16_1766013534498_cropped.jpg|analytics/plates/3/2025/12/17/23/FDU7H16_1766013534498.jpg|3           |200,069      |7           |7       |303      |BR     |BRAZIL-1 |0       |0        |0        |
|28 |97          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:19:28.513|ELT6E06     |             |   |[0.6696428656578064,0.3098684251308441,0.718377947807312,0.34013158082962036]  |analytics/plates/3/2025/12/17/23/ELT6E06_1766013568510_cropped.jpg|analytics/plates/3/2025/12/17/23/ELT6E06_1766013568510.jpg|3           |200,007      |7           |7       |305      |BR     |BRAZIL-1 |0       |0        |0        |
|29 |98          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:19:37.834|GJG4E72     |             |   |[0.8976934552192688,0.35855263471603394,0.9404761791229248,0.3861842155456543] |analytics/plates/3/2025/12/17/23/GJG4E72_1766013577832_cropped.jpg|analytics/plates/3/2025/12/17/23/GJG4E72_1766013577832.jpg|3           |202,107      |7           |15      |302      |BR     |BRAZIL-1 |0       |0        |0        |
|30 |99          |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:19:41.049|QOQ2E66     |             |   |[0.5494791865348816,0.28289473056793213,0.6104910969734192,0.3171052634716034] |analytics/plates/3/2025/12/17/23/QOQ2E66_1766013581049_cropped.jpg|analytics/plates/3/2025/12/17/23/QOQ2E66_1766013581049.jpg|3           |-1           |0           |4       |310      |BR     |BRAZIL-1 |0       |0        |0        |
|31 |100         |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:19:41.611|FKJ5I86     |             |   |[0.6856398582458496,0.1631578952074051,0.7213541865348816,0.18486842513084412] |analytics/plates/3/2025/12/17/23/FKJ5I86_1766013581609_cropped.jpg|analytics/plates/3/2025/12/17/23/FKJ5I86_1766013581609.jpg|3           |204,057      |7           |15      |302      |BR     |BRAZIL-1 |0       |0        |0        |
|32 |101         |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:19:45.826|CLH6F39     |             |   |[0.5513392686843872,0.3368421196937561,0.6041666865348816,0.3618420958518982]  |analytics/plates/3/2025/12/17/23/CLH6F39_1766013585824_cropped.jpg|analytics/plates/3/2025/12/17/23/CLH6F39_1766013585824.jpg|3           |200,069      |7           |7       |316      |BR     |BRAZIL-1 |0       |0        |0        |
|33 |102         |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:20:12.193|GKI0883     |             |   |[0.9304315447807312,0.3217105269432068,0.9758184552192688,0.35394737124443054] |analytics/plates/3/2025/12/17/23/GKI0883_1766013612191_cropped.jpg|analytics/plates/3/2025/12/17/23/GKI0883_1766013612191.jpg|3           |200,342      |7           |5       |-1       |BR     |BRAZIL-1 |0       |0        |0        |
|34 |103         |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:20:17.345|OQQ5652     |             |   |[0.6361607313156128,0.31118419766426086,0.687127947807312,0.33618420362472534] |analytics/plates/3/2025/12/17/23/OQQ5652_1766013617343_cropped.jpg|analytics/plates/3/2025/12/17/23/OQQ5652_1766013617343.jpg|3           |200,342      |7           |5       |308      |BR     |BRAZIL-1 |0       |0        |0        |
|35 |104         |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:22:13.236|EVT9B63     |             |   |[0.5747767686843872,0.1940789520740509,0.6160714030265808,0.21513158082962036] |analytics/plates/3/2025/12/17/23/EVT9B63_1766013733234_cropped.jpg|analytics/plates/3/2025/12/17/23/EVT9B63_1766013733234.jpg|3           |200,601      |5           |5       |308      |BR     |BRAZIL-1 |0       |0        |0        |
|36 |105         |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:22:13.751|EME0245     |             |   |[0.789434552192688,0.5881578922271729,0.8612351417541504,0.6269736886024475]   |analytics/plates/3/2025/12/17/23/EME0245_1766013733749_cropped.jpg|analytics/plates/3/2025/12/17/23/EME0245_1766013733749.jpg|3           |200,002      |5           |1       |-1       |BR     |BRAZIL-1 |0       |0        |0        |
|37 |106         |[NULL] |[NULL]      |[NULL]        |1     |0          |2025-12-17 23:22:47.736|ESW6122     |             |   |[0.6197916865348816,0.11052631586790085,0.6555059552192688,0.13026316463947296]|analytics/plates/3/2025/12/17/23/ESW6122_1766013767734_cropped.jpg|analytics/plates/3/2025/12/17/23/ESW6122_1766013767734.jpg|3           |200,355      |7           |7       |302      |EC     |ECUADOR-1|0       |0        |0        |
