|id |name|parent_id|plugin_name|client_id|
|289|BASE OPERACAO|0|fallen_people|8|
|290|COND. ANNUNCIATA|0|fallen_people|8|
|291|COND. ART ECO VIDA|0|fallen_people|8|
|292|COND. ATLANTA|0|fallen_people|8|
|293|COND. VILA YARA|0|fallen_people|8|
|294|COND. UPTOWN|0|fallen_people|8|
|295|COND. SHALON|0|fallen_people|8|
|296|COND. AUSTRIA|0|fallen_people|8|
|297|COND. SCORPIUS|0|fallen_people|8|
|298|COND. ROMA|0|fallen_people|8|
|299|COND. PRISCILA|0|fallen_people|8|
|300|COND. PORTAL SAO FRANCISCO|0|fallen_people|8|
|301|COND. ORQUIDEAS|0|fallen_people|8|
|302|COND. MORADA DO SOL|0|fallen_people|8|
|303|COND. MATRIZ|0|fallen_people|8|
|304|COND. MARAPASSU|0|fallen_people|8|
|305|COND. IPANEMA|0|fallen_people|8|
|306|COND. FLORENCA|0|fallen_people|8|
|307|COND. ESPANHA|0|fallen_people|8|
|308|COND. CAMILA|0|fallen_people|8|
|309|COND. BORBA GATO|0|fallen_people|8|
|310|COND. BEIJA FLOR|0|fallen_people|8|
|311|COND. BANDEIRANTES|0|fallen_people|8|
|312|COND. ANIMA|0|fallen_people|8|
|313|COND. 28 DE MAIO|0|fallen_people|8|
|314|COND. AMERICA|0|fallen_people|8|
|315|COND. BONFIGLIOLI|0|fallen_people|8|
|316|COND. BOULEVARD|0|fallen_people|8|
|317|COND. CAMPO GRANDE|0|fallen_people|8|
|318|COND. CANTA GALO|0|fallen_people|8|
|319|COND. CASA FLORA|0|fallen_people|8|
|320|COND. CASCAIS|0|fallen_people|8|
|321|COND. COQUEIROS|0|fallen_people|8|
|322|COND. DIVA|0|fallen_people|8|
|323|COND. FLOR DE LIRIO|0|fallen_people|8|
|324|COND. GARDENS|0|fallen_people|8|
|325|COND. GIUSEPPE|0|fallen_people|8|
|326|COND. GOLDEN GATE|0|fallen_people|8|
|327|COND. GRAND CANAL|0|fallen_people|8|
|328|COND. HORTENCIAS|0|fallen_people|8|
|329|COND. LA VILLETE|0|fallen_people|8|
|330|COND. LIFE STYLE|0|fallen_people|8|
|331|COND. MAGGIORE|0|fallen_people|8|
|332|COND. MARIE|0|fallen_people|8|
|333|COND. MATIAZZO|0|fallen_people|8|
|334|COND. OPTION HOME|0|fallen_people|8|
|335|COND. PLANALTO BUTANTA|0|fallen_people|8|
|336|COND. PLAZA MORUMBI|0|fallen_people|8|
|337|COND. PURUS|0|fallen_people|8|
|338|COND. QUINTA DE SILVEIRAS|0|fallen_people|8|
|339|COND. ROLDAO|0|fallen_people|8|
|340|COND. SANTA RITA|0|fallen_people|8|
|341|COND. SANTANNA|0|fallen_people|8|
|342|COND. SPAZIO|0|fallen_people|8|
|343|COND. TENERIFE|0|fallen_people|8|
|344|COND. TERRA BRASILIS|0|fallen_people|8|
|345|COND. UPSIDE|0|fallen_people|8|
|346|COND. VILA ITU|0|fallen_people|8|
|347|COND. VILA MARIANA|0|fallen_people|8|
|348|COND. VILA VERDE|0|fallen_people|8|
|349|COND. VILLAGIO|0|fallen_people|8|
|350|HARAS|0|fallen_people|8|
|351|PAULO TEST|0|fallen_people|0|
|352|JACKPOT|0|fallen_people|8|
|353|Eduacandario|0|fallen_people|93|
|354|AUTOBAHN|0|fallen_people|6|
|355|CN LOG|0|fallen_people|6|
|356|1Project|0|fallen_people|0|
|357|MONUV|0|fallen_people|0|
|358|COND. LEAF|0|fallen_people|8|
|359|COND. COLLINE DE NICE|0|fallen_people|8|
|360|9000 - MARTEL SEGURANCA|0|fallen_people|96|
|361|2000 - casa das ferragens|0|fallen_people|96|
|362|8608 - GTTAM|0|fallen_people|97|
|363|1147 - UBS BOA VISTA|0|fallen_people|4|
|364|Stratum|0|fallen_people|98|
|365|CASA DO CONSTRUTOR|0|fallen_people|4|
|366|0076 - Proeng Hall|0|fallen_people|97|
|367|5050 - LOJA SOLUTION|0|fallen_people|100|
|368|0123 - AFFETTO PAPELARIA|0|fallen_people|97|
