|id   |analytics_id|status|accepted_by|frame_image                                               |thumbnail_image                                                     |zone                                                                                                                                                                                                                                                  |dwell_time|trigger|notification_type|action_type|resolution                |created_at             |client_id|latitude|longitude|
|1,438|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061998236.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061998236_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|57        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:46:38.236|0        |0       |0        |
|1,571|8           |0     |1          |analytics/object_alerts/8/2025/12/18/14/_1766068861875.jpg|analytics/object_alerts/8/2025/12/18/14/_1766068861875_thumbnail.jpg|{"id":"d1492ea228be","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|90        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 14:41:01.876|0        |0       |0        |
|1,439|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766061999236.jpg|analytics/object_alerts/8/2025/12/18/12/_1766061999236_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|60        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:46:39.237|0        |0       |0        |
|1,440|8           |0     |1          |analytics/object_alerts/8/2025/12/18/12/_1766062543657.jpg|analytics/object_alerts/8/2025/12/18/12/_1766062543657_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 12:55:43.657|0        |0       |0        |
|1,441|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766062865698.jpg|analytics/object_alerts/8/2025/12/18/13/_1766062865698_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|24        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:01:05.699|0        |0       |0        |
|1,442|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063118824.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063118824_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|26        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:05:18.825|0        |0       |0        |
|1,443|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063120824.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063120824_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|27        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:05:20.825|0        |0       |0        |
|1,444|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063121825.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063121825_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|27        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:05:21.825|0        |0       |0        |
|1,445|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063188833.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063188833_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|4         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:06:28.834|0        |0       |0        |
|1,446|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063369692.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063369692_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|2         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:09:29.693|0        |0       |0        |
|1,447|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063379693.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063379693_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|3         |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:09:39.694|0        |0       |0        |
|1,448|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063639258.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063639258_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|25        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:13:59.259|0        |0       |0        |
|1,449|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063864796.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063864796_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|56        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:17:44.797|0        |0       |0        |
|1,450|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766063870797.jpg|analytics/object_alerts/8/2025/12/18/13/_1766063870797_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|18        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:17:50.797|0        |0       |0        |
|1,454|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766064904391.jpg|analytics/object_alerts/8/2025/12/18/13/_1766064904391_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|28        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:35:04.392|0        |0       |0        |
|1,455|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766064943396.jpg|analytics/object_alerts/8/2025/12/18/13/_1766064943396_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|64        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:35:43.397|0        |0       |0        |
|1,456|8           |0     |1          |analytics/object_alerts/8/2025/12/18/13/_1766064961398.jpg|analytics/object_alerts/8/2025/12/18/13/_1766064961398_thumbnail.jpg|{"id":"948dd5c2183c","name":"Rule 1","points":[{"x":0.007102272938936949,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.01250000111758709},{"x":0.9914773106575012,"y":0.9854167103767395},{"x":0.007102272938936949,"y":0.9854167103767395}]}|47        |6      |alert            |[NULL]     |{"height":480,"width":704}|2025-12-18 13:36:01.399|0        |0       |0        |
