|id |status|accepted_by|va_id|stream_id|frame_image                                                 |thumbnail_image                                                       |trigger|trigger_settings|notification_type|resolution                  |created_at             |rule_type|rule                                                                                                                                                                                                                                                                                                                                 |client_id|notification_status|presence_action_type|
|9  |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964802129.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964802129_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:42.129|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|10 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964804678.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964804678_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:44.678|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|11 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964810950.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964810950_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:46:50.95 |1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|12 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964821111.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964821111_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:47:01.111|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|13 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964823009.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964823009_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:47:03.009|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|14 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964826087.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964826087_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:47:06.087|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|29 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766006143011.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766006143011_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:15:43.011|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|51 |0     |1          |6    |2        |analytics/smart_va_alerts/6/2025/12/17/21/_1766008340169.jpg|analytics/smart_va_alerts/6/2025/12/17/21/_1766008340169_thumbnail.jpg|[NULL] |[NULL]          |alert            |{"height":1080,"width":1920}|2025-12-17 21:52:20.169|1        |{"additional_info":{"direction":31},"id":"113b0ad46e47","name":"Rule 1","points":[{"x":0.41953125,"y":0.03611111111111111},{"x":0.81640625,"y":0.06111111111111111},{"x":0.61953125,"y":0.9777777777777777},{"x":0.016,"y":0.972},{"x":0.02265625,"y":0.4111111111111111}],"type":"zone_with_direction"}                             |0        |0                  |[NULL]              |
|18 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964893718.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964893718_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:48:13.719|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|20 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964900270.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964900270_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:48:20.27 |1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
|21 |0     |1          |4    |3        |analytics/smart_va_alerts/4/2025/12/17/9/_1765964912469.jpg |analytics/smart_va_alerts/4/2025/12/17/9/_1765964912469_thumbnail.jpg |[NULL] |[NULL]          |alert            |{"height":1520,"width":2688}|2025-12-17 09:48:32.469|1        |{"additional_info":{"direction":342},"id":"c333265fce8c","name":"Rule 1","points":[{"x":0.2903004123306499,"y":0.1},{"x":0.6814254859611231,"y":0.025},{"x":0.9830159041822109,"y":0.3277777777777778},{"x":0.9991370508541136,"y":0.9442222222222223},{"x":0.5007853917141174,"y":0.9583333333333334}],"type":"zone_with_direction"}|0        |0                  |[NULL]              |
