|id                                                                     |author            |filename                                                       |dateexecuted              |orderexecuted|exectype|md5sum                            |description                                                                                                                                                                                                                                               |comments           |tag   |liquibase|contexts|labels|deployment_id|
|create-table-roles                                                     |igor.kiulian      |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.342337|30           |EXECUTED|8:9ebbf801808227f26f19ff7202713d75|createTable tableName=roles                                                                                                                                                                                                                               |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|drop-df-constraints-role-id-in-users-table                             |maksym.kostyshen  |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.353057|31           |MARK_RAN|8:56f9b24f15ca2904cfb5fb7ce85c7633|dropDefaultValue columnName=role_id, tableName=users                                                                                                                                                                                                      |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|add-role_ids-remove-role_id-user                                       |maksym.kostyshen  |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.380563|32           |EXECUTED|8:33b6aed676ac09c5c22944e0249337aa|dropColumn columnName=role_id, tableName=users; addColumn tableName=users; addNotNullConstraint columnName=role_ids, tableName=users                                                                                                                      |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|add-role-description                                                   |maksym.kostyshen  |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.396627|33           |EXECUTED|8:a1e0c3548337bff2137ee53857e88220|addColumn tableName=roles                                                                                                                                                                                                                                 |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-root-role-v2                                                    |oleg.syvyniuk     |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.413425|34           |EXECUTED|8:4dc12039914ba0d9bed9075e95c85897|insert tableName=roles                                                                                                                                                                                                                                    |Root role created. |[NULL]|4.28.0   |insert  |[NULL]|5935884820   |
|create-root-role-sql-server                                            |maksym.kostyshen  |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.418309|35           |MARK_RAN|8:c3de6aa178ac217ee3440b0c4c9aaa0f|sql; insert tableName=roles; sql                                                                                                                                                                                                                          |Root role created. |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|insert-default-user-admin-v2                                           |oleg.syvyniuk     |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.439181|36           |EXECUTED|8:c910aee34012a80c3ef6708339cf85fb|insert tableName=users                                                                                                                                                                                                                                    |Admin user created.|[NULL]|4.28.0   |insert  |[NULL]|5935884820   |
|insert-default-user-admin-sql-server                                   |oleg.syvyniuk     |sql/changelog/2.0.0/users-table.xml                            |2025-12-17 01:44:45.446537|37           |MARK_RAN|8:975f7fb9039c985e21e9b8bcd46e301f|sql; insert tableName=users; sql                                                                                                                                                                                                                          |Admin user created.|[NULL]|4.28.0   |insert  |[NULL]|5935884820   |
|create-table-servers                                                   |dmytro.yarmoshchuk|sql/changelog/2.0.0/servers-table.xml                          |2025-12-17 01:44:45.490022|38           |EXECUTED|8:78b5c3e85fee712efedb14f124550843|createTable tableName=servers                                                                                                                                                                                                                             |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-address-and-port-columns-for-servers                            |dmytro.yarmoshchuk|sql/changelog/2.0.0/servers-table.xml                          |2025-12-17 01:44:45.522516|39           |EXECUTED|8:43843ce6997e92477b5c620ad78e69ae|addColumn tableName=servers                                                                                                                                                                                                                               |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
|create-table-event-manager                                             |                  |sql/changelog/2.0.0/event-manager-table.xml                    |2025-12-17 01:44:45.570917|40           |EXECUTED|8:4f2bd4b33c5b28b3c7117b661e5fb3d4|createTable tableName=event_manager                                                                                                                                                                                                                       |                   |[NULL]|4.28.0   |[NULL]  |[NULL]|5935884820   |
