|id |plate_number|arabic_number|adr|box                                                                                |plate_image                                                       |frame_image                                               |analytics_id|make_model_id|vehicle_type|created_at             |color_id|direction|country|pattern  |client_id|latitude |longitude|
|40 |ODD0791     |             |   |[0.660342276096344,0.3953947424888611,0.7176339030265808,0.4355263113975525]       |analytics/plates/3/2025/12/17/22/ODD0791_1766012376476_cropped.jpg|analytics/plates/3/2025/12/17/22/ODD0791_1766012376476.jpg|3           |200,029      |7           |2025-12-17 22:59:36.479|6       |-1       |EC     |ECUADOR-1|0        |0        |0        |
|48 |DRR4070     |             |   |[0.648065447807312,0.46578946709632874,0.7135416865348816,0.503947377204895]       |analytics/plates/3/2025/12/17/23/DRR4070_1766012587024_cropped.jpg|analytics/plates/3/2025/12/17/23/DRR4070_1766012587024.jpg|3           |200,398      |7           |2025-12-17 23:03:07.026|5       |-1       |EC     |ECUADOR-1|0        |0        |0        |
|49 |PBN9J25     |             |   |[0.78125,0.3019736707210541,0.8299851417541504,0.3328947424888611]                 |analytics/plates/3/2025/12/17/23/PBN9J25_1766012605136_cropped.jpg|analytics/plates/3/2025/12/17/23/PBN9J25_1766012605136.jpg|3           |200,398      |7           |2025-12-17 23:03:25.138|5       |300      |BR     |BRAZIL-1 |0        |0        |0        |
|50 |OWN8828     |             |   |[0.6592261791229248,0.5236842036247253,0.7254464030265808,0.5618420839309692]      |analytics/plates/3/2025/12/17/23/OWN8828_1766012606452_cropped.jpg|analytics/plates/3/2025/12/17/23/OWN8828_1766012606452.jpg|3           |200,018      |5           |2025-12-17 23:03:26.454|1       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|31 |DFY7I37     |             |   |[0.6752232313156128,0.3052631616592407,0.7232142686843872,0.3328947424888611]      |analytics/plates/3/2025/12/17/22/DFY7I37_1766012226374_cropped.jpg|analytics/plates/3/2025/12/17/22/DFY7I37_1766012226374.jpg|3           |200,753      |7           |2025-12-17 22:57:06.376|1       |304      |BR     |BRAZIL-1 |0        |0        |0        |
|32 |FBD1J07     |             |   |[0.574404776096344,0.1203947365283966,0.609002947807312,0.14013157784938812]       |analytics/plates/3/2025/12/17/22/FBD1J07_1766012233968_cropped.jpg|analytics/plates/3/2025/12/17/22/FBD1J07_1766012233968.jpg|3           |200,753      |7           |2025-12-17 22:57:13.97 |1       |305      |BR     |BRAZIL-1 |0        |0        |0        |
|33 |FGZ6A07     |             |   |[0.577752947807312,0.5651316046714783,0.6540178656578064,0.6059210300445557]       |analytics/plates/3/2025/12/17/22/FGZ6A07_1766012265821_cropped.jpg|analytics/plates/3/2025/12/17/22/FGZ6A07_1766012265821.jpg|3           |202,976      |3           |2025-12-17 22:57:45.824|2       |315      |BR     |BRAZIL-1 |0        |0        |0        |
|34 |DMQ3E19     |             |   |[0.890997052192688,0.4375,0.9367559552192688,0.46513158082962036]                  |analytics/plates/3/2025/12/17/22/DMQ3E19_1766012309628_cropped.jpg|analytics/plates/3/2025/12/17/22/DMQ3E19_1766012309628.jpg|3           |202,727      |4           |2025-12-17 22:58:29.63 |2       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
|35 |FJG1013     |             |   |[0.6372767686843872,0.20855262875556946,0.6841517686843872,0.2368421107530594]     |analytics/plates/3/2025/12/17/22/FJG1013_1766012314805_cropped.jpg|analytics/plates/3/2025/12/17/22/FJG1013_1766012314805.jpg|3           |200,003      |7           |2025-12-17 22:58:34.807|5       |315      |BR     |BRAZIL-1 |0        |0        |0        |
|41 |EYX8B20     |             |   |[0.9088541865348816,0.6552631855010986,0.969122052192688,0.69539475440979]         |analytics/plates/3/2025/12/17/22/EYX8B20_1766012379266_cropped.jpg|analytics/plates/3/2025/12/17/22/EYX8B20_1766012379266.jpg|3           |200,029      |7           |2025-12-17 22:59:39.268|6       |-1       |BR     |BRAZIL-1 |0        |0        |0        |
