|id |detection_id|status|accepted_by|created_at             |list_id|list_item_id|analytics_id|uuid                                |confidence|box                                                                            |face_image                                                                                    |frame_image                                                                           |age   |gender|race  |spoofed|mask  |latitude|longitude|client_id|
|15 |15          |0     |1          |2025-12-17 22:30:28.067|1      |0           |7           |1c427289-7891-4d4e-93d9-6c5cbcac03d7|0         |[0.8061755895614624,0.16578947007656097,0.8311011791229248,0.20789474248886108]|analytics/faces/7/2025/12/17/22/1c427289-7891-4d4e-93d9-6c5cbcac03d7_1766010628039_cropped.jpg|analytics/faces/7/2025/12/17/22/1c427289-7891-4d4e-93d9-6c5cbcac03d7_1766010628039.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|16 |16          |0     |1          |2025-12-17 22:30:28.853|1      |0           |7           |406e9c8d-6817-4b63-8919-a21e0249f419|0         |[0.9609375,0.2407894730567932,0.9828869104385376,0.27828946709632874]          |analytics/faces/7/2025/12/17/22/406e9c8d-6817-4b63-8919-a21e0249f419_1766010628830_cropped.jpg|analytics/faces/7/2025/12/17/22/406e9c8d-6817-4b63-8919-a21e0249f419_1766010628830.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|17 |17          |0     |1          |2025-12-17 22:30:30.682|1      |0           |7           |3dd6f6e4-f461-4bc8-9576-242cd2aded2d|0         |[0.8735119104385376,0.31118419766426086,0.8999255895614624,0.3657894730567932] |analytics/faces/7/2025/12/17/22/3dd6f6e4-f461-4bc8-9576-242cd2aded2d_1766010630652_cropped.jpg|analytics/faces/7/2025/12/17/22/3dd6f6e4-f461-4bc8-9576-242cd2aded2d_1766010630652.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|18 |18          |0     |1          |2025-12-17 22:30:34.602|1      |0           |7           |85712673-0bef-4e1e-804b-8cd93293fba1|0         |[0.7734375,0.5513157844543457,0.8110119104385376,0.6138157844543457]           |analytics/faces/7/2025/12/17/22/85712673-0bef-4e1e-804b-8cd93293fba1_1766010634570_cropped.jpg|analytics/faces/7/2025/12/17/22/85712673-0bef-4e1e-804b-8cd93293fba1_1766010634570.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|19 |19          |0     |1          |2025-12-17 22:30:48.155|1      |0           |7           |e5496548-ea31-4c55-937f-1cbc3e7645c2|0         |[0.079613097012043,0.2388157844543457,0.103050597012043,0.2815789580345154]    |analytics/faces/7/2025/12/17/22/e5496548-ea31-4c55-937f-1cbc3e7645c2_1766010648131_cropped.jpg|analytics/faces/7/2025/12/17/22/e5496548-ea31-4c55-937f-1cbc3e7645c2_1766010648131.jpg|22-30 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|20 |20          |0     |1          |2025-12-17 22:31:40.733|1      |0           |7           |dde880eb-e10a-4813-b3bd-6d75bc08619b|0         |[0.0204613097012043,0.6467105150222778,0.071800597012043,0.7263157963752747]   |analytics/faces/7/2025/12/17/22/dde880eb-e10a-4813-b3bd-6d75bc08619b_1766010700701_cropped.jpg|analytics/faces/7/2025/12/17/22/dde880eb-e10a-4813-b3bd-6d75bc08619b_1766010700701.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|21 |21          |0     |1          |2025-12-17 22:33:33.626|1      |0           |7           |2d635070-8d1a-494d-8401-37cf8c88e69c|0         |[0.1640625,0.25131580233573914,0.1889880895614624,0.29539474844932556]         |analytics/faces/7/2025/12/17/22/2d635070-8d1a-494d-8401-37cf8c88e69c_1766010813599_cropped.jpg|analytics/faces/7/2025/12/17/22/2d635070-8d1a-494d-8401-37cf8c88e69c_1766010813599.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|22 |22          |0     |1          |2025-12-17 22:33:40.717|1      |0           |7           |cd337c42-beb2-4422-b650-6332cfe8804f|0         |[0.00632440485060215,0.817105233669281,0.0625,0.9315789341926575]              |analytics/faces/7/2025/12/17/22/cd337c42-beb2-4422-b650-6332cfe8804f_1766010820687_cropped.jpg|analytics/faces/7/2025/12/17/22/cd337c42-beb2-4422-b650-6332cfe8804f_1766010820687.jpg|17-21 |0     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|23 |23          |0     |1          |2025-12-17 22:34:48.354|1      |0           |7           |c90c0884-8cd9-4dcd-a974-a2036c39788b|0         |[0.110863097012043,0.24868421256542206,0.1391369104385376,0.3013157844543457]  |analytics/faces/7/2025/12/17/22/c90c0884-8cd9-4dcd-a974-a2036c39788b_1766010888325_cropped.jpg|analytics/faces/7/2025/12/17/22/c90c0884-8cd9-4dcd-a974-a2036c39788b_1766010888325.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
|24 |24          |0     |1          |2025-12-17 22:34:49.852|1      |0           |7           |712afde1-8487-419a-9cf6-7efdd623d6a0|0         |[0.145461305975914,0.33157894015312195,0.176711305975914,0.38289472460746765]  |analytics/faces/7/2025/12/17/22/712afde1-8487-419a-9cf6-7efdd623d6a0_1766010889825_cropped.jpg|analytics/faces/7/2025/12/17/22/712afde1-8487-419a-9cf6-7efdd623d6a0_1766010889825.jpg|22-30 |1     |[NULL]|[NULL] |[NULL]|0       |0        |0        |
